metric	bin	count	fraction
best_identity	[0.0, 0.05)	1653	0.35841283607979185
best_identity	[0.05, 0.1)	5	0.0010841283607979184
best_identity	[0.1, 0.15)	11	0.002385082393755421
best_identity	[0.15, 0.2)	27	0.005854293148308759
best_identity	[0.2, 0.25)	32	0.006938421509106678
best_identity	[0.25, 0.3)	67	0.014527320034692108
best_identity	[0.3, 0.35)	68	0.014744145706851692
best_identity	[0.35, 0.4)	59	0.012792714657415438
best_identity	[0.4, 0.45)	34	0.007372072853425846
best_identity	[0.45, 0.5)	48	0.010407632263660017
best_identity	[0.5, 0.55)	33	0.0071552471812662615
best_identity	[0.55, 0.6)	24	0.005203816131830009
best_identity	[0.6, 0.65)	35	0.0075888985255854295
best_identity	[0.65, 0.7)	41	0.00888985255854293
best_identity	[0.7, 0.75)	47	0.010190806591500434
best_identity	[0.75, 0.8)	61	0.013226366001734605
best_identity	[0.8, 0.85)	99	0.021465741543798787
best_identity	[0.85, 0.9)	181	0.03924544666088465
best_identity	[0.9, 0.95)	472	0.1023417172593235
best_identity	[0.95, 1.0)	900	0.19514310494362533
