query_cov_threshold	identity_threshold	explained_reads	explained_fraction
0.3	0.7	2114	0.45836947094535996
0.3	0.75	2084	0.4518647007805724
0.3	0.8	2036	0.4414570685169124
0.3	0.85	1959	0.42476149176062444
0.3	0.9	1800	0.39028620988725066
0.3	0.95	1369	0.29683434518647006
0.35	0.7	2016	0.4371205550737207
0.35	0.75	1990	0.43148308759757154
0.35	0.8	1943	0.42129228100607113
0.35	0.85	1872	0.40589765828274066
0.35	0.9	1719	0.37272333044232436
0.35	0.95	1304	0.28274067649609713
0.4	0.7	1860	0.4032957502168257
0.4	0.75	1835	0.3978751084128361
0.4	0.8	1792	0.388551604509974
0.4	0.85	1725	0.37402428447528185
0.4	0.9	1588	0.3443191673894189
0.4	0.95	1197	0.25954032957502166
0.45	0.7	1609	0.34887250650477014
0.45	0.75	1589	0.3445359930615785
0.45	0.8	1554	0.3369470945359931
0.45	0.85	1497	0.3245880312228968
0.45	0.9	1376	0.2983521248915872
0.45	0.95	1029	0.22311361665221163
0.5	0.7	1382	0.2996530789245447
0.5	0.75	1367	0.2964006938421509
0.5	0.8	1336	0.2896790980052038
0.5	0.85	1286	0.2788378143972246
0.5	0.9	1183	0.2565047701647875
0.5	0.95	883	0.1914570685169124
0.55	0.7	1175	0.25477016478751086
0.55	0.75	1161	0.25173460537727665
0.55	0.8	1134	0.24588031222896792
0.55	0.85	1092	0.2367736339982654
0.55	0.9	1002	0.21725932350390287
0.55	0.95	749	0.1624024284475282
0.6	0.7	1010	0.21899392888117952
0.6	0.75	997	0.21617519514310493
0.6	0.8	975	0.2114050303555941
0.6	0.85	938	0.2033824804856895
0.6	0.9	858	0.1860364267129228
0.6	0.95	637	0.1381179531656548
0.65	0.7	824	0.17866435385949697
0.65	0.75	813	0.17627927146574154
0.65	0.8	796	0.17259323503902863
0.65	0.85	765	0.16587163920208153
0.65	0.9	698	0.1513443191673894
0.65	0.95	528	0.11448395490026018
0.7	0.7	678	0.14700780572419775
0.7	0.75	668	0.1448395490026019
0.7	0.8	655	0.1420208152645273
0.7	0.85	628	0.13616652211621855
0.7	0.9	572	0.12402428447528187
0.7	0.95	433	0.09388551604509975
0.75	0.7	528	0.11448395490026018
0.75	0.75	521	0.1129661751951431
0.75	0.8	511	0.11079791847354727
0.75	0.85	493	0.10689505637467477
0.75	0.9	455	0.09865568083261059
0.75	0.95	344	0.0745880312228968
0.8	0.7	370	0.08022549869904597
0.8	0.75	367	0.07957502168256722
0.8	0.8	358	0.07762359063313096
0.8	0.85	350	0.07588898525585429
0.8	0.9	321	0.06960104076322636
0.8	0.95	244	0.05290546400693842
0.85	0.7	228	0.049436253252385085
0.85	0.75	226	0.049002601908065914
0.85	0.8	219	0.04748482220294883
0.85	0.85	215	0.04661751951431049
0.85	0.9	203	0.04401561144839549
0.85	0.95	154	0.03339115351257589
0.9	0.7	94	0.020381613183000868
0.9	0.75	93	0.020164787510841282
0.9	0.8	89	0.019297484822202948
0.9	0.85	87	0.01886383347788378
0.9	0.9	83	0.017996530789245447
0.9	0.95	61	0.013226366001734605
